datetime,Depth_meter,Water_Temperature_celsius
2016-07-16T06:30:00Z,6.0,6.88
2016-07-16T06:30:00Z,7.0,7.04
2016-07-16T07:00:00Z,0.5,7.96
2016-07-16T07:00:00Z,2.0,7.38
2016-07-16T07:00:00Z,4.0,7.5
2016-07-16T07:00:00Z,6.0,6.88
2016-07-16T07:00:00Z,7.0,7.12
2016-07-16T07:30:00Z,0.5,7.94
2016-07-16T07:30:00Z,2.0,7.38
2016-07-16T07:30:00Z,4.0,7.5
2016-07-16T07:30:00Z,6.0,6.88
2016-07-16T07:30:00Z,7.0,7.14
2016-07-16T08:00:00Z,0.5,7.9
2016-07-16T08:00:00Z,2.0,7.25
2016-07-16T08:00:00Z,4.0,7.38
2016-07-16T08:00:00Z,6.0,6.75
2016-07-16T08:00:00Z,7.0,7.1
2016-07-16T08:30:00Z,0.5,7.86
2016-07-16T08:30:00Z,2.0,7.25
2016-07-16T08:30:00Z,4.0,7.38
2016-07-16T08:30:00Z,6.0,6.75
2016-07-16T08:30:00Z,7.0,7.1
2016-07-16T09:00:00Z,0.5,7.82
2016-07-16T09:00:00Z,2.0,7.25
2016-07-16T09:00:00Z,4.0,7.38
2016-07-16T09:00:00Z,6.0,6.75
2016-07-16T09:00:00Z,7.0,7.1
2016-07-16T09:30:00Z,0.5,7.82
2016-07-16T09:30:00Z,2.0,7.25
2016-07-16T09:30:00Z,4.0,7.38
2016-07-16T09:30:00Z,6.0,6.75
2016-07-16T09:30:00Z,7.0,6.98
2016-07-16T10:00:00Z,0.5,7.78
2016-07-16T10:00:00Z,2.0,7.13
2016-07-16T10:00:00Z,4.0,7.38
2016-07-16T10:00:00Z,6.0,6.63
2016-07-16T10:00:00Z,7.0,6.86
2016-07-16T10:30:00Z,0.5,7.76
2016-07-16T10:30:00Z,2.0,7.13
2016-07-16T10:30:00Z,4.0,7.38
2016-07-16T10:30:00Z,6.0,6.63
2016-07-16T10:30:00Z,7.0,6.86
2016-07-16T11:00:00Z,0.5,7.76
2016-07-16T11:00:00Z,2.0,7.13
2016-07-16T11:00:00Z,4.0,7.38
2016-07-16T11:00:00Z,6.0,6.63
2016-07-16T11:00:00Z,7.0,6.82
2016-07-16T11:30:00Z,0.5,7.74
2016-07-16T11:30:00Z,2.0,7.13
2016-07-16T11:30:00Z,4.0,7.38
2016-07-16T11:30:00Z,6.0,6.63
2016-07-16T11:30:00Z,7.0,6.72
2016-07-16T12:00:00Z,0.5,7.72
2016-07-16T12:00:00Z,2.0,7.13
2016-07-16T12:00:00Z,4.0,7.13
2016-07-16T12:00:00Z,6.0,6.5
2016-07-16T12:00:00Z,7.0,6.7
2016-07-16T12:30:00Z,0.5,7.72
2016-07-16T12:30:00Z,2.0,7.13
2016-07-16T12:30:00Z,4.0,7.13
2016-07-16T12:30:00Z,6.0,6.5
2016-07-16T12:30:00Z,7.0,6.72
2016-07-16T13:00:00Z,0.5,7.72
2016-07-16T13:00:00Z,2.0,7.13
2016-07-16T13:00:00Z,4.0,7.13
2016-07-16T13:00:00Z,6.0,6.5
2016-07-16T13:00:00Z,7.0,6.68
2016-07-16T13:30:00Z,0.5,7.74
2016-07-16T13:30:00Z,2.0,7.13
2016-07-16T13:30:00Z,4.0,7.13
2016-07-16T13:30:00Z,6.0,6.5
2016-07-16T13:30:00Z,7.0,6.58
2016-07-16T14:00:00Z,0.5,7.74
2016-07-16T14:00:00Z,2.0,7.13
2016-07-16T14:00:00Z,4.0,7.38
2016-07-16T14:00:00Z,6.0,7
2016-07-16T14:00:00Z,7.0,6.88
2016-07-16T14:30:00Z,0.5,7.74
2016-07-16T14:30:00Z,2.0,7.13
2016-07-16T14:30:00Z,4.0,7.38
2016-07-16T14:30:00Z,6.0,7
2016-07-16T14:30:00Z,7.0,6.86
2016-07-16T15:00:00Z,0.5,7.78
2016-07-16T15:00:00Z,2.0,7.13
2016-07-16T15:00:00Z,4.0,7.38
2016-07-16T15:00:00Z,6.0,7
2016-07-16T15:00:00Z,7.0,7.26
2016-07-16T15:30:00Z,0.5,7.8
2016-07-16T15:30:00Z,2.0,7.13
2016-07-16T15:30:00Z,4.0,7.38
2016-07-16T15:30:00Z,6.0,7
2016-07-16T15:30:00Z,7.0,7.38
2016-07-16T16:00:00Z,0.5,NA
2016-07-16T16:00:00Z,2.0,7.25
2016-07-16T16:00:00Z,4.0,7.38
2016-07-16T16:00:00Z,6.0,7.13
2016-07-16T16:00:00Z,7.0,7.4
2016-07-16T16:30:00Z,0.5,7.88
2016-07-16T16:30:00Z,2.0,7.25
2016-07-16T16:30:00Z,4.0,7.38
2016-07-16T16:30:00Z,6.0,7.13
2016-07-16T16:30:00Z,7.0,7.26
2016-07-16T17:00:00Z,0.5,NA
2016-07-16T17:00:00Z,2.0,7.25
