"time","n2S-2_1","n2S-2_2","n2S-2_3","n2S-2_4","n2S-2_5","n2S-2_6","n2S-2_7","n2S-2_8","n2S-2_9","n2S-2_10","n2S-2_11","n2S-2_12","n2S-2_13","n2S-2_14","n2S-2_15","n2S-2_16","n2S-2_17","n2S-2_18","n2S-2_19","n2S-2_20","n2S-2_21","n2S-2_22","n2S-2_23","n2S-2_24","n2S-2_25"
2011-07-19 15:00:00,0.00148903030663967,0.000903744612107286,0.000789590150129428,0.00188633558352488,0.00286493138895886,0.00248180462459136,0.00234924604703714,0.00252275846438598,0.00265254476495082,0.0026111539195771,0.00245789513659882,0.00226204437303389,0.00205505660802862,0.00184628753441344,0.00163977907679434,0.00143860166390259,0.00124541657216564,0.00106170798839851,0.000887374014838278,0.000721121544647503,0.000560746003598585,0.000403492787889123,0.000246381130895937,8.64314273211339e-05,NA
2011-07-19 16:00:00,0.00183112646413164,0.00108800000185401,0.000917957359921556,0.00192707844022497,0.00285525200424162,0.00250192936488887,0.00236551922205055,0.00252609803266074,0.00265054164810446,0.00260942593505394,0.0024572988778082,0.00226195201604642,0.00205505269000982,0.00184629127335583,0.00163982418249187,0.00143871526515374,0.00124559648273003,0.00106193329968475,0.000887617509235435,0.000721357077172037,0.00056095171041806,0.000403651982808466,0.000246482131760384,8.64668490549016e-05,NA
2011-07-19 17:00:00,0.00215100314935922,0.00125289766197908,0.00103312023118344,0.00196278096217618,0.00284403413722117,0.00251919758408106,0.00238047319956037,0.0025290826452141,0.00264839140939901,0.00260756918081857,0.00245660657167436,0.00226180565047204,0.00205502367121574,0.00184628404007873,0.00163986398236861,0.00143882569785772,0.00124577413163056,0.00106215685179948,0.000887859602769434,0.000721591504663368,0.000561156575113988,0.000403810579995166,0.000246582771691277,8.65021443243454e-05,NA
2011-07-19 18:00:00,0.00243090574620446,0.00139014806435258,0.00113061882001815,0.00199081070639341,0.0028298586366673,0.00253302227546023,0.00239373977805025,0.00253150337612686,0.00264598962970541,0.00260553186710715,0.00245579128897417,0.0022615907048687,0.00205496159979543,0.00184626150696001,0.00163989608925737,0.00143893159077114,0.00124594868108766,0.00106237809688753,0.00088809991577209,0.000721824554534507,0.000561360401506984,0.000403968444740546,0.000246682970554459,8.65372842455185e-05,NA
2011-07-19 19:00:00,0.00265621410827543,0.00150149578733399,0.00121178735977569,0.00201169244734721,0.00281301051307098,0.00254370407065463,0.00240542894452355,0.00253340485307589,0.00264336556536188,0.00260333250147887,0.00245486295541618,0.00226131192764854,0.0020548686976951,0.00184622476870879,0.00163992107302437,0.00143903324498535,0.0012461202874996,0.00106259711390667,0.000888338486883014,0.000722056245037937,0.000561563197840602,0.00040412558066378,0.000246782729800354,8.65722689770582e-05,NA
2011-07-19 20:00:00,0.00283322879832419,0.00157968674604554,0.00127266069214854,0.0020230815576524,0.0027922120721352,0.00255070554063342,0.00241521477634917,0.00253459998086586,0.00264042535536304,0.00260092499596851,0.00245379786722141,0.00226095659338484,0.00205473808018749,0.00184617013734279,0.00163993695578781,0.00143912957103487,0.00124628831934073,0.0010628135123888,0.00088857505901929,0.000722286398969376,0.000561764840237786,0.000404281904314287,0.000246882000145749,8.66070806637371e-05,NA
2011-07-19 21:00:00,0.00295423478105437,0.00163035783889392,0.00131653421833723,0.00202658361533793,0.00276831295810618,0.00255460193052115,0.0024233658605989,0.00253521689734801,0.00263724118113663,0.00259835037362937,0.00245261785596277,0.00226053575400265,0.00205457531501271,0.00184610050714889,0.00163994530503342,0.00143922144961812,0.00124645329021841,0.00106302760563669,0.000888809833151038,0.000722515150908601,0.000561965420505601,0.000404437476648903,0.00024698081703181,8.66417316481733e-05,NA
2011-07-19 22:00:00,0.00296103403940281,0.00166707284533728,0.0013524453425035,0.00202696898425303,0.00274385430224041,0.00255684909646281,0.00243062109137066,0.00253563254563902,0.00263401560488637,0.00259571767885435,0.00245138006636996,0.00226007870750156,0.00205439536072064,0.00184602359628858,0.00163995017007485,0.00143931104681832,0.00124661638870869,0.00106324006979438,0.000889043212058439,0.000722742752355607,0.000562165100559902,0.000404592400664705,0.000247079238816057,8.66762428581044e-05,NA
2011-07-19 23:00:00,0.00280868901120164,0.00169367680294742,0.00138498840483124,0.00202669559362892,0.00272011666403087,0.00255822469030899,0.00243736538522161,0.00253603613226736,0.00263085123086033,0.00259308334914447,0.00245011418965081,0.0022596004481865,0.00205420568948585,0.00184594316332236,0.00163995346731816,0.00143939934525031,0.00124677811761364,0.00106345116118519,0.000889275326345287,0.00072296927015185,0.000562363914883639,0.000404746694119505,0.000247177273826228,8.67106176345059e-05,NA
2011-07-20 00:00:00,0.00255580975983118,0.00171125227889361,0.00141604213753213,0.00202682515400182,0.0026976270637237,0.00255909936629001,0.00244377287324306,0.00253650584404197,0.0026277919867068,0.0025904734379109,0.00244883453831677,0.00225910837833228,0.00205401016436424,0.00184586137232763,0.00163995652106272,0.00143948721789578,0.00124693908687056,0.0010636613258081,0.000889506512142918,0.000723194960013418,0.000562562054506583,0.00040490049126501,0.000247275002785143,8.67448846379048e-05,NA
2011-07-20 01:00:00,0.00227291401696761,0.0017195190846534,0.0014454110552046,0.00202731510952187,0.00267632183612417,0.00255952427927966,0.00244985232297009,0.00253703267257202,0.00262483538085664,0.00258788964109585,0.00244754280578213,0.00225860339537642,0.00205380929333628,0.00184577865084879,0.00163995975141403,0.00143957506161487,0.00124709965045508,0.00106387086741579,0.000889737022950746,0.000723420027323723,0.000562759678748593,0.000405053906497566,0.000247372495304622,8.67790684986008e-05,NA
2011-07-20 02:00:00,0.00196625542755155,0.00171833552832956,0.00147291001864598,0.00202811762879941,0.00265613986096923,0.00255954554392277,0.00245561244365012,0.00253760761414447,0.00262197817983918,0.00258533287139822,0.00244624002198825,0.00225808581638672,0.00205360305708257,0.0018456949473591,0.00163996315042716,0.00143966289722919,0.00124725983684758,0.00106407981233583,0.000889966880354191,0.000723644488962027,0.000562956800304728,0.00040520694867048,0.000247469756612506,8.68131712020229e-05,NA
2011-07-20 03:00:00,0.00164468247028993,0.00170776916233541,0.00149836834942951,0.00202918091028045,0.00263702289410408,0.00255920531511933,0.00246106241780827,0.00253822233995773,0.00261921714515088,0.00258280397097028,0.00244492722204875,0.00225755599464897,0.00205339147011766,0.00184561023576662,0.00163996673026803,0.00143975076280642,0.00124741968968355,0.00106428819998359,0.000890196116978126,0.000723868370793101,0.000563153438861388,0.000405359631680146,0.000247566795057287,8.68471957876895e-05,NA
2011-07-20 04:00:00,0.00131665385006013,0.00168807182967411,0.00152163392028347,0.00203044997837545,0.00261891517335397,0.00255854209447163,0.00246621175645452,0.00253886914031475,0.00261654901685306,0.00258030368333494,0.00244360541509609,0.00225701429095793,0.00205317455528195,0.00184552449274206,0.00163997050308891,0.00143983869599482,0.00124757925238583,0.00106449606977155,0.000890424765518192,0.000724091698780673,0.000563349614183765,0.000405511969462769,0.000247663619049264,8.68811452939306e-05,NA
2011-07-20 05:00:00,0.000983622358294832,0.00165944369600381,0.0015425724420165,0.00203186744251008,0.00260176303568036,0.00255759095644253,0.00247107012858464,0.00253954082530739,0.00261397045262912,0.00257783258288077,0.00244227551285729,0.00225646100752363,0.00205295228420865,0.00184543764445218,0.00163997443372088,0.00143992669240152,0.00124773853212558,0.00106470343034502,0.000890652833009548,0.000724314478037309,0.000563545329816058,0.000405663964295001,0.000247760229899687,8.69150202361759e-05,NA
2011-07-20 06:00:00,0,0.00196305972280451,0.00156107243810145,0.00203337466677385,0.00258551510397802,0.00255638425393867,0.00247564769936737,0.00254023113322326,0.00261147848902023,0.00257539152078049,0.00244093874747953,0.00225589677384579,0.00205272492894402,0.00184534988290894,0.00163997872081291,0.0014400149524369,0.00124789771366935,0.00106491044205368,0.000890880453483312,0.00072453681698805,0.000563740669687299,0.000405815676321914,0.000247856664272325,8.69488335235662e-05,NA
2011-07-20 07:00:00,0,0.00175423018996388,0.00158938530837963,0.00203592851242791,0.00257058151748488,0.00255519295690863,0.0024800815892124,0.00254100091367142,0.00260910484633706,0.00257299907163055,0.00243960531122144,0.00225532664842302,0.00205249485828404,0.00184526231361042,0.0016399838910092,0.00144010372609382,0.00124805690831438,0.00106511714630016,0.000891107634692057,0.000724758708979439,0.000563935622726974,0.000405967095120828,0.000247952915040035,8.69825827840333e-05,NA
2011-07-20 08:00:00,0,0.00159390158232419,0.00161905877604217,0.00204402257401238,0.00255932165651208,0.00255531253836771,0.00248505001396661,0.00254219700663182,0.00260703169052005,0.00257075276079176,0.00243832690464736,0.00225477767418636,0.00205227627063032,0.00184518258936002,0.00163999425651039,0.00144019558381302,0.00124821774728929,0.00106532464405724,0.000891335157962555,0.000724980724327081,0.000564130603789311,0.000406118507670349,0.00024804915379677,8.70163287570834e-05,NA
