"time","diffM2s-1_1","diffM2s-1_2","diffM2s-1_3","diffM2s-1_4","diffM2s-1_5","diffM2s-1_6","diffM2s-1_7","diffM2s-1_8","diffM2s-1_9","diffM2s-1_10","diffM2s-1_11","diffM2s-1_12","diffM2s-1_13","diffM2s-1_14","diffM2s-1_15","diffM2s-1_16","diffM2s-1_17","diffM2s-1_18","diffM2s-1_19","diffM2s-1_20","diffM2s-1_21","diffM2s-1_22","diffM2s-1_23","diffM2s-1_24","diffM2s-1_25"
2010-06-19 20:00:00,1.72316389191374e-05,4.04103384245857e-06,5.14225993195605e-06,6.2703860345017e-06,7.23553132819226e-06,8.03209081769439e-06,8.72709329121925e-06,9.38979637487777e-06,1.00816001699634e-05,1.08545057330707e-05,1.17486324630298e-05,1.27920697102243e-05,1.40021880521809e-05,1.5390794112392e-05,1.69668029607766e-05,1.87444140481245e-05,2.07506963506075e-05,2.30404348153448e-05,2.57257715128749e-05,2.90368638485845e-05,3.3486773771129e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 21:00:00,2.21245432130776e-05,4.07622487796604e-06,5.13256483286966e-06,6.25680630002514e-06,7.2244817296844e-06,8.02472885236141e-06,8.72257436072359e-06,9.38735591197895e-06,1.0080617429618e-05,1.08542915161238e-05,1.17484136167497e-05,1.27910566035387e-05,1.39996397925213e-05,1.53860618567892e-05,1.69593495749448e-05,1.87338118797477e-05,2.07366005595974e-05,2.30225267550084e-05,2.5703653800143e-05,2.90098555554508e-05,3.34534192814804e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 22:00:00,3.71901732737086e-05,4.13065470475532e-06,5.12539421401151e-06,6.2441953295484e-06,7.21387713731621e-06,8.0175463246572e-06,8.71812823564643e-06,9.38493773647046e-06,1.00796286183615e-05,1.08540577773402e-05,1.1748173030144e-05,1.27900277301979e-05,1.39970875042074e-05,1.53813410339616e-05,1.69519250069434e-05,1.87232563199086e-05,2.07225685163309e-05,2.3004698550028e-05,2.56816315624732e-05,2.89829597490757e-05,3.3420200205538e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 23:00:00,3.71901732737086e-05,4.21977813240936e-06,5.12051857837252e-06,6.2321262141809e-06,7.20344316385342e-06,8.01039665910727e-06,8.71368095682258e-06,9.38250602785398e-06,1.00786168241926e-05,1.08537965710953e-05,1.17479069224177e-05,1.27889812140076e-05,1.39945301442268e-05,1.53766309214684e-05,1.69445286179845e-05,1.87127467204105e-05,2.07085995456923e-05,2.29869495169054e-05,2.56597041346163e-05,2.89561757978245e-05,3.33871159290068e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-20 00:00:00,3.71901732737086e-05,4.31729989650332e-06,5.11841027729777e-06,6.22041061561443e-06,7.19303533706776e-06,8.0032006573981e-06,8.70919179080117e-06,9.38004083850742e-06,1.00775726486043e-05,1.08535035327574e-05,1.17476132431188e-05,1.2787916027658e-05,1.39919670922411e-05,1.53719310110506e-05,1.69371598805328e-05,1.87022824927385e-05,2.06946930062044e-05,2.29692789916135e-05,2.56378708622315e-05,2.89295030749172e-05,3.33541658378576e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-20 01:00:00,3.71901732737086e-05,4.41887638234793e-06,5.11900463493131e-06,6.20912773029743e-06,7.18266531851223e-06,7.99596112440282e-06,8.70466075967626e-06,9.37754181331732e-06,1.00764960112797e-05,1.08531787524084e-05,1.17472920983519e-05,1.27868322029078e-05,1.39893982555493e-05,1.53672410612475e-05,1.69298184048106e-05,1.86918631216609e-05,2.06808482968956e-05,2.29516863329384e-05,2.5616131103888e-05,2.89029409597027e-05,3.33213493180032e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-20 02:00:00,3.71901732737086e-05,4.52466031610338e-06,5.12211651464182e-06,6.19834622113735e-06,7.17234685470674e-06,7.98868115844495e-06,8.70008798218101e-06,9.3750086215199e-06,1.00753868269706e-05,1.08528223135056e-05,1.17469435908916e-05,1.27857297708688e-05,1.39868235429133e-05,1.53625608343244e-05,1.69225038066194e-05,1.86814880987894e-05,2.06670648239225e-05,2.29341709057757e-05,2.55944842221295e-05,2.88764888328584e-05,3.32886657558645e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-20 03:00:00,3.71901732737086e-05,4.63667127414092e-06,5.12758375809496e-06,6.18812305870005e-06,7.16209523847482e-06,7.98136420260864e-06,8.69547368016413e-06,9.37244095861073e-06,1.00742450067646e-05,1.08524342930392e-05,1.17465678201433e-05,1.27846087619177e-05,1.3984242864476e-05,1.53578900961843e-05,1.69152157071617e-05,1.86711569227378e-05,2.06533419999419e-05,2.29167320814115e-05,2.55729295843136e-05,2.88501460772709e-05,3.32561145345244e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-20 04:00:00,3.71901732737086e-05,4.75846978805843e-06,5.1353051369997e-06,6.17850582185448e-06,7.15192682274008e-06,7.9740140743378e-06,8.69081818617197e-06,9.36983854863329e-06,1.00730704591451e-05,1.08520147618264e-05,1.17461648820324e-05,1.27834692055794e-05,1.39816561319561e-05,1.5353228616173e-05,1.69079537331444e-05,1.86608690983008e-05,2.06396792451134e-05,2.28993692371384e-05,2.5551466561311e-05,2.88239120772601e-05,3.32236950374998e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-20 05:00:00,3.71901732737086e-05,4.89320792572748e-06,5.1452561116456e-06,6.16953579536888e-06,7.14185866199247e-06,7.96663497797865e-06,8.68612195145704e-06,9.3672011465205e-06,1.00718630911918e-05,1.08515637847419e-05,1.17457348690653e-05,1.27823111305119e-05,1.39790632582903e-05,1.53485761671548e-05,1.69007175165835e-05,1.8650624137005e-05,2.06260759859322e-05,2.28820817558773e-05,2.55300945293686e-05,2.87977862194529e-05,3.31914066461454e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
