"datetime","diffM2s-2_0","diffM2s-2_1","diffM2s-2_2","diffM2s-2_3","diffM2s-2_4","diffM2s-2_5","diffM2s-2_6","diffM2s-2_7","diffM2s-2_8","diffM2s-2_9","diffM2s-2_10","diffM2s-2_11","diffM2s-2_12","diffM2s-2_13","diffM2s-2_14","diffM2s-2_15","diffM2s-2_16","diffM2s-2_17","diffM2s-2_18","diffM2s-2_19","diffM2s-2_20","diffM2s-2_21","diffM2s-2_22","diffM2s-2_23","diffM2s-2_24","diffM2s-2_25"
2009-08-05 01:00:00,1.09999997999211e-09,0.00140550802461803,0.000437087623140542,7.58022270019865e-06,1.07981259134249e-05,1.18199536700558e-05,1.01465493571595e-05,6.93405581841944e-06,5.10952600052406e-06,5.36447623744607e-06,6.14151804256835e-06,6.88505519974569e-06,7.64511628403852e-06,8.64494950292283e-06,9.78968409981462e-06,1.14820018097817e-05,1.36209091579076e-05,1.65188484970713e-05,2.0595345631591e-05,2.56177918345202e-05,3.21851985063404e-05,4.18168147007236e-05,5.88785005675163e-05,0.000107352509076009,0.000184717457159422,0.000272108329227194
2009-08-05 02:00:00,1.09999997999211e-09,0.00171278289053589,0.000799525325419381,1.51771469063533e-05,1.07307864709583e-05,1.17511185635522e-05,1.00811498668918e-05,6.92193725626566e-06,5.12713245370833e-06,5.36767083758605e-06,6.14024520473322e-06,6.88507452650811e-06,7.64534252084559e-06,8.64489720697748e-06,9.78924663286307e-06,1.148119872596e-05,1.36197563733731e-05,1.65173969435273e-05,2.05937494683894e-05,2.5616258426453e-05,3.21841716868221e-05,4.18179679400055e-05,5.88860220887e-05,0.000107369425677462,0.000184731885383371,0.000272154633421451
2009-08-05 03:00:00,1.09999997999211e-09,0.00188312231330201,0.00148607729352079,0.000115230540359335,1.05163198895752e-05,1.16803280434397e-05,1.00178003776819e-05,6.91053287482646e-06,5.14435305376537e-06,5.37103596798261e-06,6.13901897850155e-06,6.88507202539768e-06,7.64556421017915e-06,8.64484491103212e-06,9.78881280389032e-06,1.14803979158751e-05,1.36186067720701e-05,1.65159481184673e-05,2.0592149667209e-05,2.56147168329335e-05,3.21831375913462e-05,4.18190011259867e-05,5.88924867770402e-05,0.000107385476439958,0.000184756085218396,0.000272186385700479
2009-08-05 04:00:00,1.09999997999211e-09,0.00206454138970003,0.00214932166272774,0.000554810245375847,9.88856800177018e-06,1.16062551569485e-05,9.95638856693404e-06,6.89979788148776e-06,5.16120417159982e-06,5.37456139682035e-06,6.13784186498378e-06,6.88504815116175e-06,7.64577976042347e-06,8.64479306983412e-06,9.78838261289638e-06,1.14795998342743e-05,1.36174621729879e-05,1.65145047503756e-05,2.05905462280498e-05,2.56131679634564e-05,3.21820944009232e-05,4.18199015257414e-05,5.88980492466362e-05,0.000107400432170834,0.000184785378223751,0.00027220934862271
2009-08-05 05:00:00,1.09999997999211e-09,0.00223010435001925,0.00303111155517399,0.00112019028165378,2.62072840087058e-05,1.15189309326524e-05,9.89679074336891e-06,6.88969294060371e-06,5.17769876751117e-06,5.37823825652595e-06,6.13671659266402e-06,6.88500426804239e-06,7.6459896263259e-06,8.64474122863612e-06,9.7879556051339e-06,1.14788040264102e-05,1.36163207571371e-05,1.65130650202627e-05,2.05889400604065e-05,2.5611613637011e-05,3.21810375680798e-05,4.18206582253333e-05,5.89028568356298e-05,0.000107413921796251,0.000184814831300173,0.000272227538516745
2009-08-05 06:00:00,1.09999997999211e-09,0.00185302301542833,0.00295149022713304,0.00165426899911836,0.000247399615545874,1.12194047687808e-05,9.83778727459139e-06,6.88018849359651e-06,5.19385116604099e-06,5.38205813427339e-06,6.13564498053165e-06,6.8849412855343e-06,7.64619312576542e-06,8.64468938743812e-06,9.78753178060288e-06,1.14780123112723e-05,1.36151838887599e-05,1.65116298376233e-05,2.05873338927631e-05,2.56100502156187e-05,3.21799652738264e-05,4.18212694057729e-05,5.89070277783321e-05,0.000107425756141311,0.000184841301233973,0.000272243079962209
2009-08-05 07:00:00,1.09999997999211e-09,0.0016079437918961,0.00258172664325684,0.00180635321885347,0.000569725598325022,1.11011204353417e-05,9.77403988144943e-06,6.87118426867528e-06,5.20964772476873e-06,5.38599124411121e-06,6.13460588283488e-06,6.88483760313829e-06,7.64636934036389e-06,8.64461708260933e-06,9.78708976617781e-06,1.14771983135142e-05,1.36140215545311e-05,1.65101619131747e-05,2.05856749744271e-05,2.56084122156608e-05,3.2178771107283e-05,4.18215786339715e-05,5.89103256061208e-05,0.000107434952951735,0.00018486070621293,0.000272255449090153
2009-08-05 08:00:00,1.09999997999211e-09,0.00153620389755815,0.002477299538441,0.0019015675643459,0.000731028558220714,2.92183099190879e-05,9.68377844401402e-06,6.85975987835263e-06,5.2241653065721e-06,5.38931840310397e-06,6.13288739259588e-06,6.88400086801266e-06,7.6458591138362e-06,8.64386538523831e-06,9.78596199274762e-06,1.14756153379858e-05,1.36119538183266e-05,1.65075452969177e-05,2.05824189833947e-05,2.560454140621e-05,3.21743473250535e-05,4.18166073359316e-05,5.89029423281318e-05,0.000107409781776369,0.000184783522854559,0.000272221164777875
2009-08-05 09:00:00,1.09999997999211e-09,0.00166829652152956,0.00269576720893383,0.00220649380935356,0.000646966669592075,9.73972714746196e-05,9.44331168284407e-06,6.84744418322225e-06,5.23793528373062e-06,5.39243455932592e-06,6.1308992371778e-06,6.88282761984738e-06,7.64503738537314e-06,8.64280991663691e-06,9.78452908384497e-06,1.14736903924495e-05,1.36094827212219e-05,1.65044166351436e-05,2.05784490390215e-05,2.55996692430926e-05,3.21684583468596e-05,4.18091949541122e-05,5.88905058975797e-05,0.000107367988675833,0.000184658398211468,0.000272171047981828
2009-08-05 10:00:00,1.09999997999211e-09,0.00153571006376296,0.00243029976263642,0.00224213534966111,0.000584228924708441,0.000107390340417624,8.89030343387276e-06,6.83370672049932e-06,5.25087125424761e-06,5.39526104148536e-06,6.12857479609374e-06,6.88125260239758e-06,7.64384003559826e-06,8.64138701217598e-06,9.78272646534606e-06,1.14713507173292e-05,1.36065236802096e-05,1.65006686074776e-05,2.05736187126604e-05,2.55935919994954e-05,3.21608167723753e-05,4.17989085690351e-05,5.8872472436633e-05,0.000107311247120379,0.000184497846930753,0.000272101548034698
